@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
90,'2022/02/25 10:52:10:446',3,64,1,59,23.92,127,58
91,'2022/02/25 10:52:10:447',3,64,2,59,23.92,127,58
92,'2022/02/25 10:52:10:447',3,64,3,59,23.92,127,58
93,'2022/02/25 10:52:10:447',3,64,4,59,23.92,127,58
94,'2022/02/25 10:52:10:496',3,64,6,59,23.92,127,58
95,'2022/02/25 10:52:10:497',3,64,7,59,23.92,127,58
96,'2022/02/25 10:52:10:497',3,64,10,59,23.92,127,58
97,'2022/02/25 10:52:10:497',3,64,10,59,23.92,127,58
98,'2022/02/25 10:52:10:497',3,64,13,59,23.92,127,58
99,'2022/02/25 10:52:10:497',3,64,14,59,23.92,127,58
100,'2022/02/25 10:52:10:546',3,64,17,59,23.92,127,58
101,'2022/02/25 10:52:10:546',3,64,18,59,23.92,127,58
102,'2022/02/25 10:52:10:547',3,64,22,59,23.92,127,58
103,'2022/02/25 10:52:10:547',3,64,24,59,23.92,127,58
104,'2022/02/25 10:52:10:547',3,64,28,59,23.92,127,58
105,'2022/02/25 10:52:10:547',3,64,30,59,23.92,127,58
106,'2022/02/25 10:52:10:547',3,64,35,59,23.92,127,58
107,'2022/02/25 10:52:10:596',3,64,37,59,23.92,127,58
108,'2022/02/25 10:52:10:597',3,64,41,59,23.92,127,58
109,'2022/02/25 10:52:10:597',3,64,45,59,23.92,127,58
110,'2022/02/25 10:52:10:597',3,64,47,59,23.92,127,58
111,'2022/02/25 10:52:10:597',3,64,55,59,23.92,127,58
112,'2022/02/25 10:52:10:597',3,64,57,59,23.92,127,58
113,'2022/02/25 10:52:10:646',3,64,60,59,23.92,127,58
114,'2022/02/25 10:54:19:448',5,64,61,59,0.92,127,1
115,'2022/02/25 10:54:19:449',5,64,61,59,0.92,127,1
116,'2022/02/25 10:54:19:498',5,64,61,59,0.92,127,1
117,'2022/02/25 10:54:19:498',5,64,62,59,0.92,127,1
118,'2022/02/25 10:54:19:498',5,64,63,59,0.92,127,1
119,'2022/02/25 10:54:19:498',5,64,64,59,0.92,127,1
120,'2022/02/25 10:54:19:499',5,64,66,59,0.92,127,1
121,'2022/02/25 10:54:19:499',5,64,67,59,0.92,127,1
122,'2022/02/25 10:54:19:548',5,64,70,59,0.92,127,1
123,'2022/02/25 10:54:19:548',5,64,71,59,0.92,127,1
124,'2022/02/25 10:54:19:548',5,64,77,59,0.92,127,1
125,'2022/02/25 10:54:19:548',5,64,79,59,0.92,127,1
126,'2022/02/25 10:54:19:548',5,64,83,59,0.92,127,1
127,'2022/02/25 10:54:19:548',5,64,86,59,0.92,127,1
128,'2022/02/25 10:54:19:548',5,64,88,59,0.92,127,1
129,'2022/02/25 10:54:19:598',5,64,90,59,0.92,127,1
130,'2022/02/25 10:54:19:598',5,64,92,59,0.92,127,1
131,'2022/02/25 10:54:19:598',5,64,93,59,0.92,127,1
132,'2022/02/25 10:54:19:598',5,64,97,59,0.92,127,1
133,'2022/02/25 10:54:19:598',5,64,99,59,0.92,127,1
134,'2022/02/25 10:54:19:598',5,64,103,59,0.92,127,1
135,'2022/02/25 10:54:19:648',5,64,106,59,0.92,127,1
136,'2022/02/25 10:54:19:648',5,64,107,59,0.92,127,1
137,'2022/02/25 10:54:19:648',5,64,110,59,0.92,127,1
138,'2022/02/25 10:54:19:648',5,64,112,59,0.92,127,1
139,'2022/02/25 10:54:19:648',5,64,116,59,0.92,127,1
140,'2022/02/25 10:54:19:648',5,64,117,59,0.92,127,1
141,'2022/02/25 10:54:19:698',5,64,119,59,0.92,127,1
142,'2022/02/25 10:54:19:698',5,64,121,59,0.92,127,1
143,'2022/02/25 10:54:19:698',5,64,124,59,0.92,127,1
144,'2022/02/25 10:54:19:698',5,64,126,59,0.92,127,1
145,'2022/02/25 10:54:19:698',5,64,127,59,0.92,127,1
146,'2022/02/25 10:54:53:098',7,63,81,59,11.96,3,65
147,'2022/02/25 10:54:53:098',7,62,81,59,11.96,3,65
148,'2022/02/25 10:54:53:099',7,62,85,59,11.96,3,65
149,'2022/02/25 10:54:53:099',7,56,85,59,11.96,3,65
150,'2022/02/25 10:54:53:099',7,56,86,59,11.96,3,65
151,'2022/02/25 10:54:53:099',7,53,86,59,11.96,3,65
152,'2022/02/25 10:54:53:099',7,53,88,59,11.96,3,65
153,'2022/02/25 10:54:53:099',7,48,88,59,11.96,3,65
154,'2022/02/25 10:54:53:099',7,48,89,59,11.96,3,65
155,'2022/02/25 10:54:53:099',7,46,89,59,11.96,3,65
156,'2022/02/25 10:54:53:099',7,46,93,59,11.96,3,65
157,'2022/02/25 10:54:53:099',7,41,93,59,11.96,3,65
158,'2022/02/25 10:54:53:148',7,41,95,59,11.96,3,65
159,'2022/02/25 10:54:53:149',7,39,95,59,11.96,3,65
160,'2022/02/25 10:54:53:149',7,39,100,59,11.96,3,65
161,'2022/02/25 10:54:53:149',7,34,100,59,11.96,3,65
162,'2022/02/25 10:54:53:149',7,34,103,59,11.96,3,65
163,'2022/02/25 10:54:53:149',7,30,103,59,11.96,3,65
164,'2022/02/25 10:54:53:149',7,30,107,59,11.96,3,65
165,'2022/02/25 10:54:53:149',7,24,107,59,11.96,3,65
166,'2022/02/25 10:54:53:149',7,24,111,59,11.96,3,65
167,'2022/02/25 10:54:53:149',7,21,111,59,11.96,3,65
168,'2022/02/25 10:54:53:149',7,21,117,59,11.96,3,65
169,'2022/02/25 10:54:53:149',7,13,117,59,11.96,3,65
170,'2022/02/25 10:54:53:149',7,13,121,59,11.96,3,65
171,'2022/02/25 10:54:53:149',7,7,121,59,11.96,3,65
172,'2022/02/25 10:54:53:198',7,7,127,59,11.96,3,65
173,'2022/02/25 10:54:53:198',7,4,127,59,11.96,3,65
174,'2022/02/25 10:54:53:198',7,0,127,59,11.96,3,65
175,'2022/02/25 10:54:54:098',7,0,127,59,11.96,3,65
176,'2022/02/25 10:54:54:098',7,1,127,59,11.96,3,65
177,'2022/02/25 10:54:54:148',7,4,127,59,11.96,3,65
178,'2022/02/25 10:54:54:148',7,5,127,59,11.96,3,65
179,'2022/02/25 10:54:54:148',7,7,127,59,11.96,3,65
180,'2022/02/25 10:54:54:149',7,9,127,59,11.96,3,65
181,'2022/02/25 10:54:54:149',7,13,127,59,11.96,3,65
182,'2022/02/25 10:54:54:149',7,17,127,59,11.96,3,65
183,'2022/02/25 10:54:54:149',7,17,127,59,11.96,3,65
184,'2022/02/25 10:54:54:149',7,23,127,59,11.96,3,65
185,'2022/02/25 10:54:54:198',7,23,125,59,11.96,3,65
186,'2022/02/25 10:54:54:198',7,25,125,59,11.96,3,65
187,'2022/02/25 10:54:54:198',7,25,120,59,11.96,3,65
188,'2022/02/25 10:54:54:199',7,31,120,59,11.96,3,65
189,'2022/02/25 10:54:54:199',7,31,117,59,11.96,3,65
190,'2022/02/25 10:54:54:199',7,34,117,59,11.96,3,65
191,'2022/02/25 10:54:54:199',7,34,111,59,11.96,3,65
192,'2022/02/25 10:54:54:199',7,40,111,59,11.96,3,65
193,'2022/02/25 10:54:54:199',7,40,109,59,11.96,3,65
194,'2022/02/25 10:54:54:199',7,42,109,59,11.96,3,65
195,'2022/02/25 10:54:54:199',7,42,104,59,11.96,3,65
196,'2022/02/25 10:54:54:199',7,47,104,59,11.96,3,65
197,'2022/02/25 10:54:54:248',7,47,102,59,11.96,3,65
198,'2022/02/25 10:54:54:249',7,50,102,59,11.96,3,65
199,'2022/02/25 10:54:54:249',7,50,95,59,11.96,3,65
200,'2022/02/25 10:54:54:249',7,55,95,59,11.96,3,65
201,'2022/02/25 10:54:54:249',7,55,93,59,11.96,3,65
202,'2022/02/25 10:54:54:249',7,59,93,59,11.96,3,65
203,'2022/02/25 10:54:54:249',7,59,89,59,11.96,3,65
204,'2022/02/25 10:54:54:249',7,64,89,59,11.96,3,65
205,'2022/02/25 10:54:54:249',7,64,87,59,11.96,3,65
206,'2022/02/25 10:54:54:249',7,64,82,59,11.96,3,65
207,'2022/02/25 10:54:54:298',7,64,79,59,11.96,3,65
208,'2022/02/25 10:54:54:298',7,64,73,59,11.96,3,65
209,'2022/02/25 10:54:54:298',7,64,67,59,11.96,3,65
210,'2022/02/25 10:54:54:298',7,64,66,59,11.96,3,65
211,'2022/02/25 10:54:54:298',7,64,63,59,11.96,3,65
212,'2022/02/25 10:54:54:299',7,64,62,59,11.96,3,65
213,'2022/02/25 10:54:54:348',7,64,61,59,11.96,3,65
214,'2022/02/25 10:54:54:348',7,64,61,59,11.96,3,65
215,'2022/02/25 10:54:54:349',7,64,60,59,11.96,3,65
